# x_position concentration_percent
0.734680 166.352497
0.735511 163.396047
0.736343 160.413914
0.737174 157.410936
0.738006 154.391738
0.738837 151.360703
0.739668 148.321941
0.740500 145.279267
0.741331 142.236186
0.742163 139.195874
0.742994 136.161174
0.743826 133.134592
0.744657 130.118299
0.745488 127.114135
0.746320 124.123623
0.747151 121.147984
0.747983 118.188154
0.748814 115.244805
0.749645 112.318372
0.750477 109.409075
0.751308 106.516950
0.752140 103.641874
0.752971 100.783594
0.753802 97.941751
0.754634 95.115911
0.755465 92.305589
0.756297 89.510267
0.757128 86.729421
0.757959 83.962537
0.758791 81.209126
0.759622 78.468740
0.760454 75.740983
0.761285 73.025520
0.762117 70.322083
0.762948 67.630477
0.763779 64.950583
0.764611 62.282360
0.765442 59.625845
0.766274 56.981153
0.767105 54.348476
0.767936 51.728082
0.768768 49.120312
0.769599 46.525580
0.770431 43.944369
0.771262 41.377231
0.772093 38.824787
0.772925 36.287721
0.773756 33.766784
0.774588 31.262790
0.775419 28.776614
0.776250 26.309194
0.777082 23.861524
0.777913 21.434654
0.778745 19.029684
0.779576 16.647764
0.780408 14.290081
0.781239 11.957857
0.782070 9.652340
0.782902 7.374791
0.783733 5.126475
0.784565 2.908648
0.785396 0.722544
0.786227 -1.430642
0.787059 -3.549768
0.787890 -5.633761
0.788722 -7.681633
0.789553 -9.692497
0.790384 -11.665584
0.791216 -13.600256
0.792047 -15.496020
0.792879 -17.352540
0.793710 -19.169648
0.794541 -20.947351
0.795373 -22.685834
0.796204 -24.385471
0.797036 -26.046816
0.797867 -27.670608
0.798698 -29.257760
0.799530 -30.809356
0.800361 -32.326638
0.801193 -33.810993
0.802024 -35.263938
0.802856 -36.687102
0.803687 -38.082211
0.804518 -39.451061
0.805350 -40.795502
0.806181 -42.117413
0.807013 -43.418683
0.807844 -44.701185
0.808675 -45.966756
0.809507 -47.217176
0.810338 -48.454150
0.811170 -49.679285
0.812001 -50.894080
0.812832 -52.099904
0.813664 -53.297988
0.814495 -54.489412
0.815327 -55.675096
0.816158 -56.855797
0.816989 -58.032101
0.817821 -59.204423
0.818652 -60.373007
0.819484 -61.537929
0.820315 -62.699099
0.821147 -63.856271
0.821978 -65.009044
0.822809 -66.156879
0.823641 -67.299102
0.824472 -68.434921
0.825304 -69.563432
0.826135 -70.683640
0.826966 -71.794463
0.827798 -72.894755
0.828629 -73.983313
0.829461 -75.058892
0.830292 -76.120225
0.831123 -77.166027
0.831955 -78.195016
0.832786 -79.205923
0.833618 -80.197505
0.834449 -81.168556
0.835280 -82.117916
0.836112 -83.044487
0.836943 -83.947236
0.837775 -84.825208
0.838606 -85.677531
0.839438 -86.503422
0.840269 -87.302194
0.841100 -88.073261
0.841932 -88.816139
0.842763 -89.530450
0.843595 -90.215923
0.844426 -90.872394
0.845257 -91.499806
0.846089 -92.098205
0.846920 -92.667740
0.847752 -93.208661
0.848583 -93.721309
0.849414 -94.206117
0.850246 -94.663602
0.851077 -95.094358
0.851909 -95.499051
0.852740 -95.878413
0.853571 -96.233232
0.854403 -96.564346
0.855234 -96.872637
0.856066 -97.159021
0.856897 -97.424443
0.857728 -97.669866
0.858560 -97.896270
0.859391 -98.104639
0.860223 -98.295958
0.861054 -98.471207
0.861886 -98.631354
0.862717 -98.777352
0.863548 -98.910131
0.864380 -99.030598
0.865211 -99.139630
0.866043 -99.238074
0.866874 -99.326742
0.867705 -99.406410
0.868537 -99.477815
0.869368 -99.541659
0.870200 -99.598601
0.871031 -99.649262
0.871862 -99.694223
0.872694 -99.734027
0.873525 -99.769178
0.874357 -99.800142
0.875188 -99.827351
0.876019 -99.851199
0.876851 -99.872050
0.877682 -99.890235
0.878514 -99.906054
0.879345 -99.919781
0.880177 -99.931663
0.881008 -99.941922
0.881839 -99.950757
0.882671 -99.958346
0.883502 -99.964849
0.884334 -99.970407
0.885165 -99.975146
0.885996 -99.979175
0.886828 -99.982593
0.887659 -99.985484
0.888491 -99.987924
0.889322 -99.989979
0.890153 -99.991703
0.890985 -99.993148
0.891816 -99.994354
0.892648 -99.995360
0.893479 -99.996195
0.894310 -99.996888
0.895142 -99.997461
0.895973 -99.997931
0.896805 -99.998313
0.897636 -99.998626
0.898467 -99.998888
0.899299 -99.999119
